date	cases	casesCumulative	casesSevenDays	incidenceSevenDays
2020-01-03	1	1	0	0
2020-01-04	1	0	0	0
2020-01-05	1	0	0	0
2020-01-06	1	0	0	0
2020-01-07	1	0	0	0
2020-01-08	1	0	0	0
2020-01-09	1	0	1	0
2020-01-10	1	0	0	0
2020-01-11	1	0	0	0
2020-01-12	1	0	0	0
2020-01-13	1	0	0	0
2020-01-14	1	0	0	0
2020-01-15	1	0	0	0
2020-01-16	1	0	0	0
2020-01-17	1	0	0	0
2020-01-18	1	0	0	0
2020-01-19	1	0	0	0
2020-01-20	1	0	0	0
2020-01-21	1	0	0	0
2020-01-22	1	0	0	0
2020-01-23	1	0	0	0
2020-01-24	2	1	1	0
2020-01-25	2	0	1	0
2020-01-26	2	0	1	0
2020-01-27	2	0	1	0
2020-01-28	2	0	1	0
2020-01-29	4	2	3	0
2020-01-30	6	2	5	0
2020-01-31	6	0	4	0
2020-02-01	10	4	8	0
2020-02-02	11	1	9	0
2020-02-03	11	0	9	0
2020-02-04	12	1	10	0
2020-02-05	16	4	12	0
2020-02-06	18	2	12	0
2020-02-07	19	1	13	0
2020-02-08	20	1	10	0
2020-02-09	20	0	9	0
2020-02-10	20	0	9	0
2020-02-11	21	1	9	0
2020-02-12	23	2	7	0
2020-02-13	24	1	6	0
2020-02-14	24	0	5	0
2020-02-15	24	0	4	0
2020-02-16	25	1	5	0
2020-02-17	25	0	5	0
2020-02-18	27	2	6	0
2020-02-19	28	1	5	0
2020-02-20	29	1	5	0
2020-02-21	31	2	7	0
2020-02-22	31	0	7	0
2020-02-23	31	0	6	0
2020-02-24	31	0	6	0
2020-02-25	32	1	5	0
2020-02-26	35	3	7	0
2020-02-27	43	8	14	0
2020-02-28	67	24	36	0
2020-02-29	112	45	81	0.1
2020-03-01	135	23	104	0.1
2020-03-02	170	35	139	0.2
2020-03-03	213	43	181	0.2
2020-03-04	298	85	263	0.3
2020-03-05	455	157	412	0.5
2020-03-06	641	186	574	0.7
2020-03-07	827	186	715	0.8
2020-03-08	969	142	834	1
2020-03-09	1075	106	905	1.1
2020-03-10	1423	348	1210	1.4
2020-03-11	2018	595	1720	2
2020-03-12	2776	758	2321	2.8
2020-03-13	3766	990	3125	3.7
2020-03-14	5234	1468	4407	5.2
2020-03-15	6535	1301	5566	6.6
2020-03-16	7513	978	6438	7.6
2020-03-17	9548	2035	8125	9.6
2020-03-18	12581	3033	10563	12.5
2020-03-19	16186	3605	13410	15.9
2020-03-20	20231	4045	16465	19.5
2020-03-21	24281	4050	19047	22.6
2020-03-22	27636	3355	21101	25
2020-03-23	29902	2266	22389	26.5
2020-03-24	33629	3727	24081	28.5
2020-03-25	38503	4874	25922	30.7
2020-03-26	44175	5672	27989	33.2
2020-03-27	50074	5899	29843	35.4
2020-03-28	56045	5971	31764	37.7
2020-03-29	60764	4719	33128	39.3
2020-03-30	63838	3074	33936	40.2
2020-03-31	67962	4124	34333	40.7
2020-04-01	74001	6039	35498	42.1
2020-04-02	80258	6257	36083	42.8
2020-04-03	86800	6542	36726	43.5
2020-04-04	92982	6182	36937	43.8
2020-04-05	97322	4340	36558	43.3
2020-04-06	99854	2532	36016	42.7
2020-04-07	103513	3659	35551	42.1
2020-04-08	108697	5184	34696	41.1
2020-04-09	113970	5273	33712	40
2020-04-10	118882	4912	32082	38
2020-04-11	122232	3350	29250	34.7
2020-04-12	125108	2876	27786	32.9
2020-04-13	126977	1869	27123	32.2
2020-04-14	128575	1598	25062	29.7
2020-04-15	131040	2465	22343	26.5
2020-04-16	134364	3324	20394	24.2
2020-04-17	137777	3413	18895	22.4
2020-04-18	140823	3046	18591	22
2020-04-19	142930	2107	17822	21.1
2020-04-20	144304	1374	17327	20.5
2020-04-21	146016	1712	17441	20.7
2020-04-22	148200	2184	17160	20.3
2020-04-23	150689	2489	16325	19.4
2020-04-24	152779	2090	15002	17.8
2020-04-25	154681	1902	13858	16.4
2020-04-26	155952	1271	13022	15.4
2020-04-27	156650	698	12346	14.6
2020-04-28	157764	1114	11748	13.9
2020-04-29	159237	1473	11037	13.1
2020-04-30	160665	1428	9976	11.8
2020-05-01	162129	1464	9350	11.1
2020-05-02	163048	919	8367	9.9
2020-05-03	163670	622	7718	9.1
2020-05-04	164093	423	7443	8.8
2020-05-05	164820	727	7056	8.4
2020-05-06	165914	1094	6677	7.9
2020-05-07	167133	1219	6468	7.7
2020-05-08	168336	1203	6207	7.4
2020-05-09	169316	980	6268	7.4
2020-05-10	169993	677	6323	7.5
2020-05-11	170334	341	6241	7.4
2020-05-12	171023	689	6203	7.4
2020-05-13	171876	853	5962	7.1
2020-05-14	172790	914	5657	6.7
2020-05-15	173602	812	5266	6.2
2020-05-16	174336	734	5020	6
2020-05-17	174798	462	4805	5.7
2020-05-18	175115	317	4781	5.7
2020-05-19	175655	540	4632	5.5
2020-05-20	176385	730	4509	5.3
2020-05-21	177217	832	4427	5.2
2020-05-22	177635	418	4033	4.8
2020-05-23	178161	526	3825	4.5
2020-05-24	178498	337	3700	4.4
2020-05-25	178717	219	3602	4.3
2020-05-26	179128	411	3473	4.1
2020-05-27	179745	617	3360	4
2020-05-28	180398	653	3181	3.8
2020-05-29	180927	529	3292	3.9
2020-05-30	181373	446	3212	3.8
2020-05-31	181747	374	3249	3.9
2020-06-01	181925	178	3208	3.8
2020-06-02	182060	135	2932	3.5
2020-06-03	182367	307	2622	3.1
2020-06-04	182864	497	2466	2.9
2020-06-05	183394	530	2467	2.9
2020-06-06	183827	433	2454	2.9
2020-06-07	184112	285	2365	2.8
2020-06-08	184276	164	2351	2.8
2020-06-09	184571	295	2511	3
2020-06-10	184997	426	2630	3.1
2020-06-11	185515	518	2651	3.1
2020-06-12	185798	283	2404	2.8
2020-06-13	186151	353	2324	2.8
2020-06-14	186452	301	2340	2.8
2020-06-15	186624	172	2348	2.8
2020-06-16	186883	259	2312	2.7
2020-06-17	187401	518	2404	2.8
2020-06-18	188268	867	2753	3.3
2020-06-19	189033	765	3235	3.8
2020-06-20	190023	990	3872	4.6
2020-06-21	190594	571	4142	4.9
2020-06-22	190817	223	4193	5
2020-06-23	191264	447	4381	5.2
2020-06-24	191804	540	4403	5.2
2020-06-25	192314	510	4046	4.8
2020-06-26	192884	570	3851	4.6
2020-06-27	193457	573	3434	4.1
2020-06-28	193783	326	3189	3.8
2020-06-29	193984	201	3167	3.8
2020-06-30	194399	415	3135	3.7
2020-07-01	194857	458	3053	3.6
2020-07-02	195338	481	3024	3.6
2020-07-03	195809	471	2925	3.5
2020-07-04	196236	427	2779	3.3
2020-07-05	196530	294	2747	3.3
2020-07-06	196675	145	2691	3.2
2020-07-07	196998	323	2599	3.1
2020-07-08	197395	397	2538	3
2020-07-09	197846	451	2508	3
2020-07-10	198268	422	2459	2.9
2020-07-11	198695	427	2459	2.9
2020-07-12	198972	277	2442	2.9
2020-07-13	199104	132	2429	2.9
2020-07-14	199432	328	2434	2.9
2020-07-15	199902	470	2507	3
2020-07-16	200444	542	2598	3.1
2020-07-17	201003	559	2735	3.2
2020-07-18	201526	523	2831	3.4
2020-07-19	201965	439	2993	3.5
2020-07-20	202144	179	3040	3.6
2020-07-21	202595	451	3163	3.7
2020-07-22	203121	526	3219	3.8
2020-07-23	203823	702	3379	4
2020-07-24	204514	691	3511	4.2
2020-07-25	205319	805	3793	4.5
2020-07-26	205863	544	3898	4.6
2020-07-27	206075	212	3931	4.7
2020-07-28	206602	527	4007	4.7
2020-07-29	207357	755	4236	5
2020-07-30	208271	914	4448	5.3
2020-07-31	209136	865	4622	5.5
2020-08-01	210049	913	4730	5.6
2020-08-02	210612	563	4749	5.6
2020-08-03	210914	302	4839	5.7
2020-08-04	211711	797	5109	6.1
2020-08-05	212662	951	5305	6.3
2020-08-06	213773	1111	5502	6.5
2020-08-07	214943	1170	5807	6.9
2020-08-08	215948	1005	5899	7
2020-08-09	216658	710	6046	7.2
2020-08-10	216975	317	6061	7.2
2020-08-11	218079	1104	6368	7.5
2020-08-12	219270	1191	6608	7.8
2020-08-13	220815	1545	7042	8.3
2020-08-14	222319	1504	7376	8.7
2020-08-15	223693	1374	7745	9.2
2020-08-16	224452	759	7794	9.2
2020-08-17	224944	492	7969	9.4
2020-08-18	226483	1539	8404	10
2020-08-19	228011	1528	8741	10.4
2020-08-20	229763	1752	8948	10.6
2020-08-21	231383	1620	9064	10.7
2020-08-22	233040	1657	9347	11.1
2020-08-23	233959	919	9507	11.3
2020-08-24	234523	564	9579	11.4
2020-08-25	235951	1428	9468	11.2
2020-08-26	237439	1488	9428	11.2
2020-08-27	239060	1621	9297	11
2020-08-28	240606	1546	9223	10.9
2020-08-29	241998	1392	8958	10.6
2020-08-30	242831	833	8872	10.5
2020-08-31	243365	534	8842	10.5
2020-09-01	244542	1177	8591	10.2
2020-09-02	245864	1322	8425	10
2020-09-03	247276	1412	8216	9.7
2020-09-04	248791	1515	8185	9.7
2020-09-05	250289	1498	8291	9.8
2020-09-06	251395	1106	8564	10.2
2020-09-07	251974	579	8609	10.2
2020-09-08	253387	1413	8845	10.5
2020-09-09	254768	1381	8904	10.6
2020-09-10	256513	1745	9237	10.9
2020-09-11	258102	1589	9311	11
2020-09-12	259769	1667	9480	11.2
2020-09-13	260997	1228	9602	11.4
2020-09-14	261759	762	9785	11.6
2020-09-15	263248	1489	9861	11.7
2020-09-16	265247	1999	10479	12.4
2020-09-17	267426	2179	10913	12.9
2020-09-18	269786	2360	11684	13.9
